instance,n,risk_level,instance_id,original,refined,improvement,improvement_pct,runtime,optimal,completed,status
ultra_102_high_07,102,high,07,9.79,9.79,0.0,0.0,0.9045908451080322,True,True,OK
ultra_102_low_07,102,low,07,9.79,9.79,0.0,0.0,1.3530337810516357,True,True,OK
ultra_102_medium_07,102,medium,07,9.79,9.79,0.0,0.0,0.9587106704711914,True,True,OK
ultra_118_high_01,118,high,01,9.97,9.97,0.0,0.0,1.534146785736084,True,True,OK
ultra_118_low_01,118,low,01,9.97,9.97,0.0,0.0,1.4565491676330566,True,True,OK
ultra_118_medium_01,118,medium,01,9.97,9.97,0.0,0.0,1.3859994411468506,True,True,OK
ultra_119_high_08,119,high,08,9.97,9.97,0.0,0.0,1.5498511791229248,True,True,OK
ultra_119_low_08,119,low,08,9.97,9.97,0.0,0.0,2.2815279960632324,True,True,OK
ultra_119_medium_08,119,medium,08,9.97,9.97,0.0,0.0,1.3714401721954346,True,True,OK
ultra_120_high_09,120,high,09,9.89,9.89,0.0,0.0,1.4532301425933838,True,True,OK
ultra_120_low_09,120,low,09,9.89,9.89,0.0,0.0,2.008378505706787,True,True,OK
ultra_120_medium_09,120,medium,09,9.89,9.89,0.0,0.0,1.4050662517547607,True,True,OK
ultra_126_high_04,126,high,04,9.98,9.98,0.0,0.0,1.607861042022705,True,True,OK
ultra_126_low_04,126,low,04,9.98,9.98,0.0,0.0,1.6952364444732666,True,True,OK
ultra_126_medium_04,126,medium,04,9.98,9.98,0.0,0.0,2.3455076217651367,True,True,OK
ultra_144_high_02,144,high,02,9.93,9.93,0.0,0.0,3.5486533641815186,True,True,OK
ultra_144_low_02,144,low,02,9.93,9.93,0.0,0.0,4.180095672607422,True,True,OK
ultra_144_medium_02,144,medium,02,9.93,9.93,0.0,0.0,4.031260967254639,True,True,OK
ultra_146_high_10,146,high,10,10.0,10.0,0.0,0.0,3.879594564437866,True,True,OK
ultra_146_low_10,146,low,10,10.0,10.0,0.0,0.0,3.034583330154419,True,True,OK
ultra_146_medium_10,146,medium,10,10.0,10.0,0.0,0.0,3.4110469818115234,True,True,OK
ultra_156_high_06,156,high,06,10.0,10.0,0.0,0.0,4.078555583953857,True,True,OK
ultra_156_low_06,156,low,06,10.0,10.0,0.0,0.0,3.922286033630371,True,True,OK
ultra_156_medium_06,156,medium,06,10.0,10.0,0.0,0.0,3.6446123123168945,True,True,OK
ultra_161_high_03,161,high,03,9.96,9.96,0.0,0.0,4.999906301498413,True,True,OK
ultra_161_low_03,161,low,03,9.96,9.96,0.0,0.0,4.966266870498657,True,True,OK
ultra_161_medium_03,161,medium,03,9.96,9.96,0.0,0.0,6.6093080043792725,True,True,OK
ultra_169_high_05,169,high,05,10.0,10.0,0.0,0.0,5.749154090881348,True,True,OK
ultra_169_low_05,169,low,05,10.0,10.0,0.0,0.0,4.716442584991455,True,True,OK
ultra_169_medium_05,169,medium,05,10.0,10.0,0.0,0.0,3.3170816898345947,True,True,OK
